FDC_ID,Item,Category,Calories,Protein,Carbohydrate,Total fat,Cholesterol,Fiber,Water,Alcohol,Vitamin C,Health Category
168791,"Candies, praline, prepared-from-recipe",Sweets,485.0,3.3,59.59,25.9,0.0 mg,3.5,10.36 g,0.0 g,0.3 mg,Indulgent
167759,"Sapodilla, raw",Fruits and Fruit Juices,83.0,0.44,19.96,1.1,0.0 mg,5.3,78.0 g,0.0 g,14.7 mg,Nourishing
171662,"Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",Breakfast Cereals,68.0,2.37,11.67,1.36,0.0 mg,1.7,84.03 g,0.0 g,0.0 mg,Balanced
172719,"Cookies, chocolate sandwich, with creme filling, regular, chocolate-coated",Baked Products,481.0,3.6,66.4,26.4,0.0 mg,5.2,2.0 g,0.0 g,0.0 mg,Indulgent
170192,"Seeds, sesame flour, high-fat",Nut and Seed Products,526.0,30.78,26.62,37.1,0.0 mg,,0.9 g,,0.0 mg,Indulgent
173761,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, canned with pork",Legumes and Legume Products,83.0,2.74,16.53,1.6,7.0 mg,3.3,77.59 g,,0.2 mg,Nourishing
167885,"Pork, cured, ham, extra lean and regular, canned, unheated",Pork Products,144.0,17.97,0.0,7.46,38.0 mg,0.0,71.12 g,0.0 g,0.0 mg,Balanced
171004,"Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing",Fats and Oils,84.0,0.2,15.5,2.7,9.0 mg,1.9,78.7 g,,0.0 mg,Balanced
172572,"Lamb, Australian, imported, fresh, separable fat, raw","Lamb, Veal, and Game Products",648.0,6.27,0.0,68.87,77.0 mg,,25.08 g,,,Indulgent
169230,"Garlic, raw",Vegetables and Vegetable Products,149.0,6.36,33.06,0.5,0.0 mg,2.1,58.58 g,0.0 g,31.2 mg,Balanced
169940,"Pear nectar, canned, without added ascorbic acid",Fruits and Fruit Juices,60.0,0.11,15.76,0.01,0.0 mg,0.6,84.01 g,0.0 g,1.1 mg,Indulgent
171149,"Soup, chicken vegetable, canned, condensed","Soups, Sauces, and Gravies",61.0,2.94,7.01,2.32,7.0 mg,0.7,85.52 g,0.0 g,0.8 mg,Balanced
168902,"Pasta, homemade, made without egg, cooked",Cereal Grains and Pasta,124.0,4.37,25.12,0.98,0.0 mg,,68.86 g,,0.0 mg,Balanced
174037,"Beef, ground, 75% lean meat / 25% fat, raw",Beef Products,293.0,15.76,0.0,25.0,75.0 mg,0.0,58.09 g,0.0 g,0.0 mg,Indulgent
172883,"Soup, stock, beef, home-prepared","Soups, Sauces, and Gravies",13.0,1.97,1.2,0.09,0.0 mg,0.0,95.89 g,0.0 g,0.0 mg,Indulgent
171344,"Babyfood, fruit, applesauce and pineapple, junior",Baby Foods,39.0,0.1,10.5,0.1,0.0 mg,1.5,89.1 g,0.0 g,26.8 mg,Indulgent
171354,"Babyfood, juice, orange",Baby Foods,45.0,0.6,10.2,0.3,0.0 mg,0.1,88.5 g,0.0 g,62.5 mg,Indulgent
174104,"Crackers, gluten-free, multi-seeded and multigrain",Baked Products,453.0,11.25,66.3,15.84,0.0 mg,10.2,3.59 g,0.0 g,0.0 mg,Indulgent
169509,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, raw",Beef Products,254.0,19.33,0.0,19.06,81.0 mg,0.0,61.05 g,0.0 g,0.0 mg,Indulgent
175101,"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate, prepared with water",Beverages,45.0,0.12,11.32,0.0,0.0 mg,0.0,88.08 g,0.0 g,55.1 mg,Indulgent
174568,"Soup, onion, dry, mix, prepared with water","Soups, Sauces, and Gravies",12.0,0.32,2.77,0.01,0.0 mg,0.3,95.8 g,0.0 g,0.1 mg,Indulgent
171210,"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",Beef Products,240.0,27.18,0.0,14.55,83.0 mg,0.0,57.57 g,0.0 g,0.0 mg,Balanced
170198,"Beef, cured, breakfast strips, cooked",Beef Products,449.0,31.3,1.4,34.4,119.0 mg,0.0,26.2 g,0.0 g,0.0 mg,Indulgent
174539,"Soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk","Soups, Sauces, and Gravies",61.0,3.24,7.46,2.02,7.0 mg,0.3,85.49 g,0.0 g,2.1 mg,Balanced
174634,"Cereals ready-to-eat, QUAKER, MOTHER'S COCOA BUMPERS",Breakfast Cereals,382.0,4.21,89.91,1.61,0.0 mg,2.7,2.5 g,,0.2 mg,Indulgent
168801,"Candies, HEATH BITES",Sweets,530.0,3.94,63.39,30.38,19.0 mg,2.0,0.86 g,0.0 g,0.8 mg,Indulgent
172189,"Egg, duck, whole, fresh, raw",Dairy and Egg Products,185.0,12.81,1.45,13.77,884.0 mg,0.0,70.83 g,0.0 g,0.0 mg,Balanced
173500,"Babyfood, dinner, turkey and rice, junior",Baby Foods,56.0,2.37,9.57,0.92,4.0 mg,1.0,86.64 g,0.0 g,0.3 mg,Balanced
173938,"Apricots, canned, extra light syrup pack, with skin, solids and liquids (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,49.0,0.6,12.5,0.1,0.0 mg,1.6,86.3 g,,4.0 mg,Balanced
171548,"Soup, beef broth bouillon and consomme, canned, condensed","Soups, Sauces, and Gravies",11.0,2.52,0.32,0.0,0.0 mg,0.0,94.76 g,0.0 g,0.7 mg,Balanced
167939,"Garlic bread, frozen",Baked Products,350.0,8.36,41.72,16.61,0.0 mg,2.5,31.78 g,0.0 g,0.2 mg,Indulgent
172119,"Beef, round, knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",Beef Products,174.0,28.79,0.0,5.71,82.0 mg,0.0,65.1 g,0.0 g,0.0 mg,Balanced
168261,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, cooked, braised",Pork Products,233.0,26.57,0.0,13.2,100.0 mg,0.0,58.0 g,0.0 g,0.0 mg,Balanced
173489,"Babyfood, dinner, beef lasagna, toddler",Baby Foods,77.0,4.2,10.0,2.1,,,82.3 g,,1.9 mg,Balanced
167643,"Fish, whitefish, eggs (Alaska Native)",American Indian/Alaska Native Foods,104.0,14.66,4.89,2.88,439.0 mg,0.0,76.24 g,0.0 g,12.0 mg,Nourishing
169400,"Malabar spinach, cooked",Vegetables and Vegetable Products,23.0,2.98,2.71,0.78,0.0 mg,2.1,92.5 g,,5.9 mg,Balanced
174199,"Fish, haddock, smoked",Finfish and Shellfish Products,116.0,25.23,0.0,0.96,77.0 mg,0.0,71.48 g,0.0 g,0.0 mg,Nourishing
174221,"Mollusks, scallop, mixed species, cooked, breaded and fried",Finfish and Shellfish Products,216.0,18.07,10.13,10.94,54.0 mg,,58.44 g,,2.3 mg,Balanced
168347,"Pork, cured, ham -- water added, shank, bone-in, separable lean and fat, unheated",Pork Products,167.0,16.65,0.66,11.02,52.0 mg,0.0,69.21 g,0.0 g,0.0 mg,Balanced
171379,"Babyfood, dessert, custard pudding, vanilla, strained",Baby Foods,85.0,1.6,16.0,2.0,8.0 mg,0.0,79.9 g,0.0 g,0.8 mg,Indulgent
170622,"Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0"" fat, choice, cooked, roasted",Beef Products,253.0,27.53,0.0,15.0,81.0 mg,0.0,56.8 g,,0.0 mg,Indulgent
175116,"Fish, herring, Atlantic, raw",Finfish and Shellfish Products,158.0,17.96,0.0,9.04,60.0 mg,0.0,72.05 g,0.0 g,0.7 mg,Balanced
169637,"Candies, milk chocolate coated coffee beans",Sweets,549.0,7.41,55.25,33.18,20.0 mg,5.7,2.42 g,0.0 g,0.0 mg,Indulgent
168737,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",Beef Products,201.0,26.44,0.0,9.78,81.0 mg,0.0,63.45 g,0.0 g,0.0 mg,Balanced
171337,"Babyfood, fruit, peaches, junior",Baby Foods,65.0,0.94,14.48,0.33,0.0 mg,1.3,83.65 g,0.0 g,46.1 mg,Indulgent
169575,"Alcoholic beverage, beer, light, low carb",Beverages,27.0,0.17,0.73,0.0,0.0 mg,0.0,95.4 g,3.3 g,0.0 mg,Indulgent
173831,"Veal, shoulder, whole (arm and blade), separable lean only, cooked, braised","Lamb, Veal, and Game Products",199.0,33.68,0.0,6.1,130.0 mg,0.0,58.88 g,,0.0 mg,Balanced
168176,"Feijoa, raw",Fruits and Fruit Juices,61.0,0.71,15.21,0.42,0.0 mg,6.4,83.28 g,,32.9 mg,Nourishing
174766,"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, select, raw",Beef Products,124.0,21.45,0.0,3.61,66.0 mg,0.0,74.26 g,0.0 g,0.0 mg,Nourishing
171307,"Light ice cream, Creamsicle",Dairy and Egg Products,165.0,1.54,32.75,3.08,8.0 mg,0.0,61.77 g,0.0 g,13.8 mg,Indulgent
169758,"Rice, white, long-grain, parboiled, unenriched, dry",Cereal Grains and Pasta,374.0,7.51,80.89,1.03,0.0 mg,1.8,9.86 g,0.0 g,0.0 mg,Indulgent
167999,"Baking chocolate, mexican, squares",Sweets,426.0,3.64,77.41,15.59,0.0 mg,4.0,1.59 g,0.0 g,0.1 mg,Indulgent
174563,"Soup, turkey vegetable, canned, prepared with equal volume water","Soups, Sauces, and Gravies",30.0,1.28,3.58,1.26,1.0 mg,0.2,92.89 g,0.0 g,0.0 mg,Indulgent
173533,"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",Baby Foods,112.0,6.9,13.4,3.9,,,74.4 g,,,Nourishing
173249,"Archway Home Style Cookies, Iced Molasses",Baked Products,420.0,3.5,69.12,14.43,12.0 mg,1.0,10.34 g,,,Indulgent
174442,"Lamb, New Zealand, imported, kidney, raw","Lamb, Veal, and Game Products",84.0,15.21,0.03,2.54,369.0 mg,0.0,81.02 g,0.0 g,0.0 mg,Nourishing
173738,"Beans, french, mature seeds, raw",Legumes and Legume Products,343.0,18.81,64.11,2.02,0.0 mg,25.2,10.77 g,,4.6 mg,Indulgent
172069,"McDONALD'S, Bacon Egg & Cheese Biscuit",Fast Foods,304.0,13.45,22.26,18.77,167.0 mg,0.9,42.29 g,,2.1 mg,Indulgent
173662,"Alcoholic beverage, whiskey sour",Beverages,149.0,0.0,13.17,0.03,0.0 mg,0.0,72.6 g,14.1 g,1.6 mg,Indulgent
173607,"Shortening, industrial, soy (partially hydrogenated ) for baking and confections",Fats and Oils,884.0,0.0,0.0,100.0,0.0 mg,0.0,0.0 g,0.0 g,0.0 mg,Indulgent
168087,"Restaurant, Chinese, sesame chicken",Restaurant Foods,293.0,14.33,26.88,14.25,59.0 mg,0.7,42.8 g,0.0 g,1.0 mg,Balanced
172277,"Babyfood, vegetables, sweet potatoes, junior",Baby Foods,60.0,1.1,14.0,0.1,0.0 mg,1.5,84.1 g,0.0 g,9.6 mg,Indulgent
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk",Sweets,105.0,2.76,19.74,1.7,6.0 mg,0.0,74.52 g,0.0 g,0.8 mg,Balanced
169642,Jellies,Sweets,266.0,0.15,69.95,0.02,0.0 mg,1.0,29.77 g,0.0 g,0.9 mg,Indulgent
170703,"School Lunch, pizza, TONY'S SMARTPIZZA Whole Grain 4x6 Pepperoni Pizza 50/50 Cheese, frozen",Fast Foods,238.0,12.14,28.84,8.19,12.0 mg,4.1,48.47 g,,0.0 mg,Balanced
173183,"Beverages, GEROLSTEINER BRUNNEN GmbH & Co. KG (Gerolsteiner), naturally sparkling, mineral bottled water",Beverages,0.0,0.0,0.0,0.0,0.0 mg,0.0,99.95 g,0.0 g,0.0 mg,Indulgent
169882,"Chewing gum, sugarless",Sweets,268.0,0.0,94.8,0.4,0.0 mg,2.4,3.5 g,0.0 g,0.0 mg,Indulgent
169785,"Infant formula, GERBER, GOOD START, PROTECT PLUS, powder",Baby Foods,512.0,11.3,57.0,26.1,0.0 mg,0.0,2.0 g,0.0 g,51.0 mg,Indulgent
170446,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",Vegetables and Vegetable Products,97.0,1.77,10.87,5.13,14.0 mg,0.8,81.2 g,0.0 g,9.7 mg,Indulgent
173382,"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,142.0,22.46,0.0,5.78,70.0 mg,0.0,71.0 g,0.0 g,0.0 mg,Balanced
174648,"Cereals ready-to-eat, RALSTON Corn Flakes",Breakfast Cereals,384.0,5.9,88.01,0.91,0.0 mg,2.7,3.31 g,,65.0 mg,Indulgent
169747,"Teff, uncooked",Cereal Grains and Pasta,367.0,13.3,73.13,2.38,,8.0,8.82 g,,,Indulgent
170411,"Onions, frozen, chopped, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,28.0,0.77,6.59,0.1,0.0 mg,1.8,92.24 g,0.0 g,2.6 mg,Balanced
169915,"Oheloberries, raw",Fruits and Fruit Juices,28.0,0.38,6.84,0.22,0.0 mg,,92.3 g,,6.0 mg,Balanced
174909,"Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs",Baked Products,330.0,6.59,54.46,9.58,57.0 mg,2.3,27.11 g,0.0 g,0.1 mg,Indulgent
171521,"Chicken, broilers or fryers,  rotisserie, original seasoning, drumstick, meat and skin, cooked",Poultry Products,215.0,26.86,0.02,11.98,156.0 mg,0.0,59.78 g,0.0 g,0.0 mg,Balanced
167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",Breakfast Cereals,339.0,10.93,80.65,2.06,0.0 mg,14.7,3.14 g,0.0 g,0.0 mg,Indulgent
174802,"Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, with yogurt coating",Snacks,423.0,5.71,74.29,11.43,0.0 mg,4.4,7.18 g,0.0 g,0.0 mg,Indulgent
172320,"Infant formula, PBM PRODUCTS, store brand, liquid concentrate, not reconstituted",Baby Foods,130.0,2.9,13.9,7.0,8.0 mg,0.0,76.0 g,0.0 g,11.2 mg,Balanced
169936,"Pears, canned, juice pack, solids and liquids",Fruits and Fruit Juices,50.0,0.34,12.94,0.07,0.0 mg,1.6,86.47 g,0.0 g,1.6 mg,Balanced
175134,"Fish, sablefish, raw",Finfish and Shellfish Products,195.0,13.41,0.0,15.3,49.0 mg,0.0,71.02 g,0.0 g,0.0 mg,Indulgent
169657,"Sweeteners, tabletop, aspartame, EQUAL, packets",Sweets,365.0,2.17,89.08,0.0,0.0 mg,0.0,8.75 g,0.0 g,0.0 mg,Indulgent
172500,"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, raw","Lamb, Veal, and Game Products",260.0,16.79,0.0,20.9,71.0 mg,0.0,61.76 g,,0.0 mg,Indulgent
171324,"Spices, fenugreek seed",Spices and Herbs,323.0,23.0,58.35,6.41,0.0 mg,24.6,8.84 g,,3.0 mg,Indulgent
171910,"Beverages, tea, green, brewed, decaffeinated",Beverages,0.0,0.0,0.0,0.0,0.0 mg,0.0,99.93 g,0.0 g,0.0 mg,Indulgent
173603,"Oil, industrial, palm kernel (hydrogenated), filling fat",Fats and Oils,884.0,0.0,0.0,100.0,0.0 mg,0.0,0.08 g,0.0 g,0.0 mg,Indulgent
171971,"Crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture)",Finfish and Shellfish Products,119.0,22.78,1.52,1.7,211.0 mg,0.0,71.56 g,0.0 g,0.0 mg,Nourishing
168191,"Dates, medjool",Fruits and Fruit Juices,277.0,1.81,74.97,0.15,,6.7,21.32 g,,0.0 mg,Indulgent
170771,"BURGER KING, Onion Rings",Fast Foods,417.0,3.86,43.58,25.23,,2.7,24.52 g,,1.4 mg,Indulgent
171190,"Soup, beef and vegetables, canned, ready-to-serve","Soups, Sauces, and Gravies",48.0,3.18,6.16,1.16,7.0 mg,1.2,88.22 g,0.0 g,3.6 mg,Balanced
170774,"PIZZA HUT 14"" Cheese Pizza, Stuffed Crust",Fast Foods,274.0,12.23,30.0,11.63,30.0 mg,1.7,43.37 g,,3.1 mg,Balanced
173039,"Grapefruit juice, white, raw",Fruits and Fruit Juices,39.0,0.5,9.2,0.1,0.0 mg,0.1,90.0 g,0.0 g,38.0 mg,Indulgent
170221,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",Beef Products,285.0,24.91,0.0,19.79,83.0 mg,0.0,52.79 g,,0.0 mg,Indulgent
171088,"Turkey, whole, light meat, meat and skin, raw",Poultry Products,161.0,21.96,0.15,7.43,67.0 mg,0.0,70.68 g,0.0 g,0.0 mg,Balanced
173676,"Fish, monkfish, raw",Finfish and Shellfish Products,76.0,14.48,0.0,1.52,25.0 mg,0.0,83.24 g,,1.0 mg,Nourishing
173940,"Apricots, dehydrated (low-moisture), sulfured, stewed",Fruits and Fruit Juices,126.0,1.93,32.62,0.24,0.0 mg,,63.6 g,,7.1 mg,Balanced
169006,"Stew, pinto bean and hominy, badufsuki (Hopi)",American Indian/Alaska Native Foods,32.0,1.42,5.38,0.54,0.0 mg,1.5,92.25 g,,,Indulgent
168317,"HORMEL ALWAYS TENDER, Pork Tenderloin, Peppercorn-Flavored",Pork Products,110.0,17.21,1.82,3.8,47.0 mg,,74.44 g,,1.4 mg,Nourishing
171973,"Crustaceans, shrimp, mixed species, imitation, made from surimi",Finfish and Shellfish Products,101.0,12.39,9.13,1.47,36.0 mg,0.0,74.91 g,,0.0 mg,Nourishing
173376,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, raw",Beef Products,206.0,18.74,0.19,14.53,69.0 mg,0.0,65.6 g,0.0 g,0.0 mg,Balanced
173939,"Apricots, canned, light syrup pack, with skin, solids and liquids",Fruits and Fruit Juices,63.0,0.53,16.49,0.05,0.0 mg,1.6,82.56 g,0.0 g,2.7 mg,Balanced
175279,"Veal, shoulder, whole (arm and blade), separable lean and fat, cooked, roasted","Lamb, Veal, and Game Products",184.0,25.32,0.0,8.42,113.0 mg,0.0,65.31 g,,0.0 mg,Balanced
175161,"Fish, whiting, mixed species, cooked, dry heat",Finfish and Shellfish Products,116.0,23.48,0.0,1.69,84.0 mg,0.0,74.71 g,0.0 g,0.0 mg,Nourishing
172526,"Lamb, variety meats and by-products, brain, cooked, braised","Lamb, Veal, and Game Products",145.0,12.55,0.0,10.17,2043.0 mg,0.0,75.73 g,0.0 g,12.0 mg,Balanced
167788,"Nance, canned, syrup, drained",Fruits and Fruit Juices,95.0,0.56,22.79,1.28,,7.0,74.85 g,,10.8 mg,Balanced
171116,"Chicken, ground, raw",Poultry Products,143.0,17.44,0.04,8.1,86.0 mg,0.0,73.24 g,0.0 g,0.0 mg,Balanced
171174,"Sauce, sofrito, prepared from recipe","Soups, Sauces, and Gravies",237.0,12.8,5.46,18.2,,1.7,59.66 g,,20.4 mg,Indulgent
175266,"Veal, composite of trimmed retail cuts, separable fat, raw","Lamb, Veal, and Game Products",638.0,6.02,0.0,67.83,73.0 mg,0.0,24.77 g,,0.0 mg,Indulgent
173406,"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, select, raw",Beef Products,305.0,16.75,0.6,26.23,73.0 mg,0.0,55.67 g,0.0 g,0.0 mg,Indulgent
174953,"Cookies, chocolate chip, refrigerated dough",Baked Products,451.0,3.98,61.02,21.33,7.0 mg,1.5,12.08 g,0.0 g,0.0 mg,Indulgent
170710,"Fast foods, hamburger, large, single patty, with condiments",Fast Foods,256.0,15.68,22.14,11.6,40.0 mg,1.1,48.81 g,0.0 g,0.3 mg,Balanced
171176,"Soup, tomato, canned, prepared with equal volume water, commercial","Soups, Sauces, and Gravies",32.0,0.71,7.45,0.21,0.0 mg,0.5,90.55 g,0.0 g,6.3 mg,Indulgent
167558,"Snacks, tortilla chips, plain, white corn, salted",Snacks,472.0,7.1,67.78,20.68,0.0 mg,5.4,2.64 g,0.0 g,0.0 mg,Indulgent
172925,"Soup, chicken noodle, dry, mix, prepared with water","Soups, Sauces, and Gravies",23.0,0.84,3.67,0.55,4.0 mg,0.1,94.16 g,0.0 g,0.0 mg,Indulgent
167786,"Tamarind nectar, canned",Fruits and Fruit Juices,57.0,0.09,14.73,0.12,0.0 mg,0.5,84.97 g,,7.1 mg,Indulgent
169172,"Pork, cured, ham with natural juices, slice, bone-in, separable lean and fat, heated, pan-broil",Pork Products,180.0,26.18,0.17,8.28,80.0 mg,0.0,63.36 g,0.0 g,0.0 mg,Balanced
173545,"Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE, with iron, powder, not reconstituted, with ARA and DHA",Baby Foods,512.0,12.7,54.6,27.0,0.0 mg,0.0,2.6 g,0.0 g,61.0 mg,Indulgent
172756,"Doughnuts, french crullers, glazed",Baked Products,412.0,3.1,59.5,18.3,11.0 mg,1.2,17.9 g,0.0 g,0.0 mg,Indulgent
169251,"Mushrooms, white, raw",Vegetables and Vegetable Products,22.0,3.09,3.26,0.34,0.0 mg,1.0,92.45 g,0.0 g,2.1 mg,Balanced
173540,"Infant formula, MEAD JOHNSON, PROSOBEE, with iron, ready-to-feed",Baby Foods,63.0,1.64,6.11,3.5,0.0 mg,0.0,88.35 g,0.0 g,7.9 mg,Indulgent
173598,"Oil, industrial, soy, refined, for woks and light frying",Fats and Oils,884.0,0.0,0.0,100.0,0.0 mg,0.0,0.0 g,0.0 g,0.0 mg,Indulgent
170636,"Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",Beef Products,176.0,27.68,0.0,6.42,76.0 mg,0.0,65.62 g,0.0 g,0.0 mg,Balanced
